Year  Temperature
2010-12-31	14.63
2009-12-31	14.58
2008-12-31	14.44
2007-12-31	14.58
2006-12-31	14.55
2005-12-31	14.62
2004-12-31	14.48
2003-12-31	14.55
2002-12-31	14.56
2001-12-31	14.47
2000-12-31	14.33
1999-12-31	14.32
1998-12-31	14.56
1997-12-31	14.39
1996-12-31	14.29
1995-12-31	14.37
1994-12-31	14.23
1993-12-31	14.13
1992-12-31	14.13
1991-12-31	14.35
1990-12-31	14.36
1989-12-31	14.19
1988-12-31	14.31
1987-12-31	14.27
1986-12-31	14.12
1985-12-31	14.04
1984-12-31	14.09
1983-12-31	14.25
1982-12-31	14.04
1981-12-31	14.26
1980-12-31	14.19
1979-12-31	14.08
1978-12-31	14.01
1977-12-31	14.12
1976-12-31	13.84
1975-12-31	13.95
1974-12-31	13.92
1973-12-31	14.14
1972-12-31	14
1971-12-31	13.9
1970-12-31	14.03
1969-12-31	14.08
1968-12-31	13.96
1967-12-31	13.99
1966-12-31	13.97
1965-12-31	13.89
1964-12-31	13.79
1963-12-31	14.08
1962-12-31	14.04
1961-12-31	14.07
1960-12-31	13.99
1959-12-31	14.06
1958-12-31	14.08
1957-12-31	14.08
1956-12-31	13.83
1955-12-31	13.9
1954-12-31	13.9
1953-12-31	14.11
1952-12-31	14.03
1951-12-31	13.96
1950-12-31	13.84
1949-12-31	13.93
1948-12-31	13.96
1947-12-31	14
1946-12-31	13.95
1945-12-31	14.06
1944-12-31	14.19
1943-12-31	14.09
1942-12-31	14.03
1941-12-31	14.1
1940-12-31	14.04
1939-12-31	14.01
1938-12-31	14.1
1937-12-31	14.07
1936-12-31	13.95
1935-12-31	13.88
1934-12-31	13.93
1933-12-31	13.81
1932-12-31	13.92
1931-12-31	13.98
1930-12-31	13.92
1929-12-31	13.74
1928-12-31	13.87
1927-12-31	13.85
1926-12-31	13.98
1925-12-31	13.83
1924-12-31	13.78
1923-12-31	13.78
1922-12-31	13.74
1921-12-31	13.85
1920-12-31	13.81
1919-12-31	13.8
1918-12-31	13.67
1917-12-31	13.61
1916-12-31	13.7
1915-12-31	13.9
1914-12-31	13.85
1913-12-31	13.7
1912-12-31	13.68
1911-12-31	13.66
1910-12-31	13.67
1909-12-31	13.65
1908-12-31	13.67
1907-12-31	13.61
1906-12-31	13.81
1905-12-31	13.76
1904-12-31	13.66
1903-12-31	13.7
1902-12-31	13.76
1901-12-31	13.85
1900-12-31	13.92
1899-12-31	13.84
1898-12-31	13.74
1897-12-31	13.89
1896-12-31	13.86
1895-12-31	13.75
1894-12-31	13.67
1893-12-31	13.67
1892-12-31	13.68
1891-12-31	13.73
1890-12-31	13.61
1889-12-31	13.83
1888-12-31	13.73
1887-12-31	13.65
1886-12-31	13.71
1885-12-31	13.68
1884-12-31	13.68
1883-12-31	13.73
1882-12-31	13.74
1881-12-31	13.79
1880-12-31	13.72
