                                                           The SAS System                        16:35 Friday, February 11, 2011   1

                                                   Obs      y        x       z

                                                     1    -2.0    -0.5    2034.00
                                                     2    -2.0    -0.4    1945.00
                                                     3    -2.0    -0.3    1858.00
                                                     4    -2.0    -0.2    1773.00
                                                     5    -2.0    -0.1    1690.00
                                                     6    -2.0    -0.0    1609.00
                                                     7    -2.0     0.1    1530.00
                                                     8    -2.0     0.2    1453.00
                                                     9    -2.0     0.3    1378.00
                                                    10    -2.0     0.4    1305.00
                                                    11    -2.0     0.5    1234.00
                                                    12    -2.0     0.6    1165.00
                                                    13    -2.0     0.7    1098.00
                                                    14    -2.0     0.8    1033.00
                                                    15    -2.0     0.9     970.00
                                                    16    -2.0     1.0     909.00
                                                    17    -2.0     1.1     850.00
                                                    18    -2.0     1.2     793.00
                                                    19    -2.0     1.3     738.00
                                                    20    -2.0     1.4     685.00
                                                    21    -2.0     1.5     634.00
                                                    22    -2.0     1.6     585.00
                                                    23    -2.0     1.7     538.00
                                                    24    -2.0     1.8     493.00
                                                    25    -2.0     1.9     450.00
                                                    26    -2.0     2.0     409.00
                                                    27    -2.0     2.1     370.00
                                                    28    -2.0     2.2     333.00
                                                    29    -2.0     2.3     298.00
                                                    30    -2.0     2.4     265.00
                                                    31    -2.0     2.5     234.00
                                                    32    -2.0     2.6     205.00
                                                    33    -2.0     2.7     178.00
                                                    34    -2.0     2.8     153.00
                                                    35    -2.0     2.9     130.00
                                                    36    -2.0     3.0     109.00
                                                    37    -1.9    -0.5    1697.62
                                                    38    -1.9    -0.4    1616.42
                                                    39    -1.9    -0.3    1537.22
                                                    40    -1.9    -0.2    1460.02
                                                    41    -1.9    -0.1    1384.82
                                                    42    -1.9    -0.0    1311.62
                                                    43    -1.9     0.1    1240.42
                                                    44    -1.9     0.2    1171.22
                                                    45    -1.9     0.3    1104.02
                                                    46    -1.9     0.4    1038.82
                                                    47    -1.9     0.5     975.62
                                                    48    -1.9     0.6     914.42
                                                    49    -1.9     0.7     855.22
                                                    50    -1.9     0.8     798.02
                                                    51    -1.9     0.9     742.82
                                                    52    -1.9     1.0     689.62
                                                    53    -1.9     1.1     638.42
                                                    54    -1.9     1.2     589.22
                                                    55    -1.9     1.3     542.02
                                                    56    -1.9     1.4     496.82
                                                           The SAS System                        16:35 Friday, February 11, 2011   2

                                                   Obs      y        x       z

                                                    57    -1.9     1.5     453.62
                                                    58    -1.9     1.6     412.42
                                                    59    -1.9     1.7     373.22
                                                    60    -1.9     1.8     336.02
                                                    61    -1.9     1.9     300.82
                                                    62    -1.9     2.0     267.62
                                                    63    -1.9     2.1     236.42
                                                    64    -1.9     2.2     207.22
                                                    65    -1.9     2.3     180.02
                                                    66    -1.9     2.4     154.82
                                                    67    -1.9     2.5     131.62
                                                    68    -1.9     2.6     110.42
                                                    69    -1.9     2.7      91.22
                                                    70    -1.9     2.8      74.02
                                                    71    -1.9     2.9      58.82
                                                    72    -1.9     3.0      45.62
                                                    73    -1.8    -0.5    1406.60
                                                    74    -1.8    -0.4    1332.80
                                                    75    -1.8    -0.3    1261.00
                                                    76    -1.8    -0.2    1191.20
                                                    77    -1.8    -0.1    1123.40
                                                    78    -1.8    -0.0    1057.60
                                                    79    -1.8     0.1     993.80
                                                    80    -1.8     0.2     932.00
                                                    81    -1.8     0.3     872.20
                                                    82    -1.8     0.4     814.40
                                                    83    -1.8     0.5     758.60
                                                    84    -1.8     0.6     704.80
                                                    85    -1.8     0.7     653.00
                                                    86    -1.8     0.8     603.20
                                                    87    -1.8     0.9     555.40
                                                    88    -1.8     1.0     509.60
                                                    89    -1.8     1.1     465.80
                                                    90    -1.8     1.2     424.00
                                                    91    -1.8     1.3     384.20
                                                    92    -1.8     1.4     346.40
                                                    93    -1.8     1.5     310.60
                                                    94    -1.8     1.6     276.80
                                                    95    -1.8     1.7     245.00
                                                    96    -1.8     1.8     215.20
                                                    97    -1.8     1.9     187.40
                                                    98    -1.8     2.0     161.60
                                                    99    -1.8     2.1     137.80
                                                   100    -1.8     2.2     116.00
                                                   101    -1.8     2.3      96.20
                                                   102    -1.8     2.4      78.40
                                                   103    -1.8     2.5      62.60
                                                   104    -1.8     2.6      48.80
                                                   105    -1.8     2.7      37.00
                                                   106    -1.8     2.8      27.20
                                                   107    -1.8     2.9      19.40
